fecha_hora,demanda
2025-06-10 05:21:25,"49,737 MW"
2025-06-10 06:37:25,"46,749 MW"
2025-06-10 07:25:11,"46,132 MW"
2025-06-10 08:35:27,"43,920 MW"
2025-06-10 09:28:23,"43,252 MW"
2025-06-10 10:28:52,"42,469 MW"
2025-06-10 11:22:06,"42,195 MW"
2025-06-10 12:55:11,"41,658 MW"
2025-06-10 13:38:06,"43,188 MW"
2025-06-10 14:26:28,"44,967 MW"
2025-06-10 15:27:26,"45,862 MW"
2025-06-10 16:33:37,"46,905 MW"
2025-06-10 17:23:16,"47,726 MW"
2025-06-10 18:36:30,"48,661 MW"
2025-06-10 19:20:19,"49,447 MW"
2025-06-10 20:29:07,"50,447 MW"
2025-06-10 21:24:55,"51,274 MW"
2025-06-10 22:25:17,"51,882 MW"
2025-06-10 23:24:18,"51,963 MW"
2025-06-11 02:07:48,"51,939 MW"
2025-06-11 03:51:23,"51,534 MW"
2025-06-11 04:34:47,"50,648 MW"
2025-06-11 05:26:21,"49,051 MW"
2025-06-11 06:37:43,"46,796 MW"
2025-06-11 07:25:29,"45,573 MW"
2025-06-11 08:34:40,"43,864 MW"
2025-06-11 09:28:58,"42,790 MW"
2025-06-11 10:28:52,"41,676 MW"
2025-06-11 11:22:47,"41,643 MW"
2025-06-11 12:54:55,"41,033 MW"
2025-06-11 13:38:00,"42,283 MW"
2025-06-11 14:25:08,"43,480 MW"
2025-06-11 15:29:03,"44,736 MW"
2025-06-11 16:33:45,"45,274 MW"
2025-06-11 17:23:41,"46,139 MW"
2025-06-11 18:36:55,"46,911 MW"
2025-06-11 19:20:23,"48,028 MW"
2025-06-11 20:27:59,"49,215 MW"
2025-06-11 21:24:45,"50,438 MW"
